Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating
RELIANCE,Reliance Industries Limited,1280,INR,0.1564945226917058,7163132,0.5648790512774474,17296615133118.998,INR,23.179965266270795,55.2201,INR,-8.318252305321916,0.469428470836756,Energy minerals,Strong buy
BHARTIARTL,Bharti Airtel Limited,1905.3,INR,0.37403856284901005,5230299,0.899696026777277,11844101424641,INR,43.472606302877644,43.8276,INR,-20.523849590901186,0.842504344163025,Communications,Strong buy
HDFCBANK,HDFC Bank Limited,739.55,INR,-0.43753365643511044,29678752,1.0486725693891525,11436999782586,INR,14.449980461117624,51.18,INR,11.34558903513542,1.75060597899273,Finance,Strong buy
ICICIBANK,ICICI Bank Limited,1445.7,INR,0.8932933212366496,10608300,0.8123013869010712,10282178936317,INR,18.687952430196486,77.36,INR,7.369882026370579,0.76754003419042,Finance,Strong buy
SBIN,State Bank of India,1020.6,INR,0.5517241379310367,6093002,0.5470948532057346,9369538854753,INR,11.211762353701113,91.0294,INR,4.7432203545851115,1.70927540515246,Finance,Strong buy
TCS,Tata Consultancy Services Limited,2295.6,INR,1.832054296233852,4007292,0.8003716553663436,8154806842814,INR,16.67841236858739,137.639,INR,1.067516881423239,2.83952260526199,Technology services,Buy
BAJFINANCE,Bajaj Finance Limited,1048.3,INR,3.505134281200632,7610916,0.8615188331499082,6304715539696,INR,34.34796854521625,30.52,INR,13.77022291806456,0.592504814101615,Finance,Buy
LICI,Life Insurance Corp. of India,424.35,INR,0.7239496795632593,1064234,0.4905469479039836,5330075519836,INR,9.343314801563276,45.4175,INR,18.90051547336372,2.37332384003797,Finance,Strong buy
LT,Larsen & Toubro Limited,3806,INR,0.538884192730349,1454211,0.7303960437364366,5207478674103,INR,32.56331279945243,116.88,INR,6.944825693110064,1.00389670431279,Industrial services,Buy
HINDUNILVR,Hindustan Unilever Limited,2174.6,INR,1.3799533799533759,698681,0.47443343997228427,5039285959106,INR,33.97971779927184,63.997,INR,41.20266179494647,1.91164471383611,Consumer non-durables,Buy
SUNPHARMA,Sun Pharmaceutical Industries Limited,1973.7,INR,1.6794600999433382,5414380,2.85058782271599,4656999693604,INR,41.25264922393937,47.8442,INR,5.035971223021584,0.850077279752705,Health technology,Strong buy
MARUTI,Maruti Suzuki India Limited,13730,INR,2.1425383127510784,333477,0.9295940724882503,4228211475389,INR,29.406605541763696,466.9019,INR,1.2366475606490452,1.0038368876595,Consumer durables,Buy
INFY,Infosys Limited,1079.2,INR,3.6795081179748244,15956349,1.2119126371066755,4223736513508.9995,INR,14.577795067972076,74.0304,INR,12.70552700168076,4.61117248667083,Technology services,Buy
TITAN,Titan Company Limited,4740.1,INR,1.3491554415223512,500721,0.7632805939284557,4156348797132,INR,82.92788750037177,57.1593,INR,51.99475616987671,0.234957387273854,Consumer durables,Buy
ADANIPOWER,Adani Power Limited,213.96,INR,0.14040999719180539,14546955,0.42760165681031065,4120174618526,INR,28.94519676943682,7.3919,INR,14.85953135682764,0,Utilities,Strong buy
ADANIENT,Adani Enterprises Limited,3036.6,INR,0.33703409992069183,636870,0.5084892725985387,4096988725228,INR,39.2071292262641,77.4502,INR,29.161809561451328,0.0429446839436434,Distribution services,Strong buy
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,1770.4,INR,0.11875812927671416,2266975,1.5668893213068817,4073629824024,INR,30.405660701404873,58.226,INR,13.390457643622195,0.424184152480063,Transportation,Strong buy
M&M,Mahindra & Mahindra Ltd.,3238.6,INR,2.441956095400766,2264570,1.1154951800719068,3930794949829,INR,21.29117086319111,152.11,INR,32.189102285565326,0.800379626700411,Consumer durables,Strong buy
KOTAKBANK,Kotak Mahindra Bank Limited,384.65,INR,-0.02599090318389155,16710096,1.080620821437573,3826753781193,INR,18.849570965829177,20.4063,INR,5.9319130380614284,0.129971406290616,Finance,Buy
AXISBANK,Axis Bank Limited,1227.5,INR,0.016295934164429683,5967502,0.5947636537107871,3820578247291,INR,13.802991116608567,88.93,INR,-0.6146624944121559,0.0814265939255761,Finance,Strong buy
ITC,ITC Limited,285.85,INR,0.8467101781619455,19312804,1.3657892314703866,3553357137021,INR,17.311337608933947,16.5123,INR,-40.53050493409206,5.11283497884344,Consumer non-durables,Neutral
ULTRACEMCO,UltraTech Cement Limited,11881,INR,0.29545838257639706,250956,0.6917998522982671,3485622645796,INR,40.95201985385358,290.12,INR,21.22969667922059,0.654585689489888,Non-energy minerals,Strong buy
